DATE,M12MTVUSM227NFWA
2012-01-01,2954139
2012-02-01,2958872
2012-03-01,2961914
2012-04-01,2961730
2012-05-01,2968421
2012-06-01,2970447
2012-07-01,2970516
2012-08-01,2974369
2012-09-01,2971174
2012-10-01,2972842
2012-11-01,2974668
2012-12-01,2968567
2013-01-01,2970459
2013-02-01,2968066
2013-03-01,2964926
2013-04-01,2967596
2013-05-01,2970228
2013-06-01,2969832
2013-07-01,2973534
2013-08-01,2977216
2013-09-01,2980885
2013-10-01,2986059
2013-11-01,2985753
2013-12-01,2988281
2014-01-01,2985275
2014-02-01,2983421
2014-03-01,2983819
2014-04-01,2988491
2014-05-01,2991322
2014-06-01,2994801
2014-07-01,3000908
2014-08-01,3001678
2014-09-01,3006830
2014-10-01,3013226
2014-11-01,3014622
2014-12-01,3025656
2015-01-01,3032741
2015-02-01,3036012
2015-03-01,3040605
2015-04-01,3046686
2015-05-01,3051288
2015-06-01,3058403
2015-07-01,3066722
2015-08-01,3070100
2015-09-01,3077502
2015-10-01,3080827
2015-11-01,3088219
2015-12-01,3095372
2016-01-01,3101553
2016-02-01,3107344
2016-03-01,3114474
2016-04-01,3121310
2016-05-01,3128443
2016-06-01,3134860
2016-07-01,3141648
2016-08-01,3148652
2016-09-01,3155601
2016-10-01,3162742
2016-11-01,3169053
2016-12-01,3174407
2017-01-01,3177328.0
2017-02-01,3179961.0
2017-03-01,3183157.0
2017-04-01,3186368.0
2017-05-01,3189660.0
2017-06-01,3192959.0
2017-07-01,3196365.0
2017-08-01,3199710.0
2017-09-01,3202883.0
2017-10-01,3206161.0
2017-11-01,3209166.0
2017-12-01,3212346.0
2018-01-01,3214482.0
2018-02-01,3216597.0
2018-03-01,3218959.0
2018-04-01,3221222.0
2018-05-01,3223671.0
2018-06-01,3226029.0
2018-07-01,3228452.0
2018-08-01,3230883.0
2018-09-01,3233105.0
2018-10-01,3235599.0
2018-11-01,3237913.0
2018-12-01,3240325.0
2019-01-01,3244516.0
2019-02-01,3248548.0
2019-03-01,3250222.0
2019-04-01,3248508.0
2019-05-01,3254506.0
2019-06-01,3253217.0
2019-07-01,3253748.0
2019-08-01,3262067.0
2019-09-01,3267952.0
2019-10-01,3270531.0
2019-11-01,3270384.0
2019-12-01,3261771.0
2020-01-01,3273691.0
2020-02-01,3284595.0
2020-03-01,3238854.0
2020-04-01,3133058.0
2020-05-01,3064353.0
2020-06-01,3033324.0
2020-07-01,3007354.0
2020-08-01,2979106.0
2020-09-01,2963318.0
2020-10-01,2945953.0
2020-11-01,2923927.0
2020-12-01,2903621.0
2021-01-01,2873804.0
2021-02-01,2844147.0
2021-03-01,2886935.0
2021-04-01,2978507.0
2021-05-01,3041827.0
2021-06-01,3078395.0
2021-07-01,3109303.0
2021-08-01,3131652.0
2021-09-01,3152119.0
2021-10-01,3171278.0
2021-11-01,3200727.0
2021-12-01,3227696.0
2022-01-01,3237206.0
2022-02-01,3259980.0
2022-03-01,3267807.0
2022-04-01,3271861.0
2022-05-01,3275702.0
2022-06-01,3270925.0
